"local/unknown",2008-08-18T18:00:29+02:00,36,"xss csrf id rfe lfi sqli","test=%5C%22%3E%3Cscript%3Eeval%28window.name%29%3C%2Fscript%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E"
"local/unknown",2008-08-18T18:00:32+02:00,36,"xss csrf id rfe lfi sqli","test=%5C%22%3E%3Cscript%3Eeval%28window.name%29%3C%2Fscript%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E"
"local/unknown",2008-08-18T18:00:46+02:00,36,"xss csrf id rfe lfi sqli","test=%5C%22%3E%3Cscript%3Eeval%28window.name%29%3C%2Fscript%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E"
"local/unknown",2008-08-18T18:27:34+02:00,36,"xss csrf id rfe lfi sqli","test=%5C%22%3E%3Cscript%3Eeval%28window.name%29%3C%2Fscript%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E"
"local/unknown",2009-06-24T13:01:51+02:00,15,"xss csrf sqli id lfi","REQUEST.__wysiwyg=%3Ca%20href%3D%5C%22http%3A%2F%2Fwww.foo.de%2F%3Fbar%5C%22%3Efoobar%3C%2Fa%3E GET.__wysiwyg=%3Ca%20href%3D%5C%22http%3A%2F%2Fwww.foo.de%2F%3Fbar%5C%22%3Efoobar%3C%2Fa%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3F__wysiwyg%3D%253Ca%2520href%3D%2522http%3A%2F%2Fwww.foo.de%2F%3Fbar%2522%253Efoobar%253C%2Fa%253E","127.0.0.1"
"local/unknown",2009-06-24T13:04:46+02:00,15,"xss csrf sqli id lfi","REQUEST.__wysiwyg=%3Ca%20href%3D%5C%22http%3A%2F%2Fwww.foo.de%2F%3Fbar%5C%22%3Efoobar%3C%2Fa%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3F__wysiwyg%3D%253Ca%2520href%3D%2522http%3A%2F%2Fwww.foo.de%2F%3Fbar%2522%253Efoobar%253C%2Fa%253E","127.0.0.1"
"local/unknown",2009-06-24T13:05:48+02:00,15,"xss csrf sqli id lfi","REQUEST.__wysiwyg=%3Ca%20href%3D%5C%22http%3A%2F%2Fwww.foo.de%2F%3Fbar%5C%22%3Efoobar%3C%2Fa%3E GET.__wysiwyg=%3Ca%20href%3D%5C%22http%3A%2F%2Fwww.foo.de%2F%3Fbar%5C%22%3Efoobar%3C%2Fa%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3F__wysiwyg%3D%253Ca%2520href%3D%2522http%3A%2F%2Fwww.foo.de%2F%3Fbar%2522%253Efoobar%253C%2Fa%253E","127.0.0.1"
"127.0.0.1",2012-03-16T17:22:13+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%2522action%2522%253A%2522formData%2522%252C%2522params%2522%253A%257B%2522box%255Bad_box%255D%255BbtnPreview%255D%2522%253A%25221%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:22:37+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%255C%2522action%255C%2522%253A%255C%2522formData%255C%2522%252C%255C%2522params%255C%2522%253A%257B%255C%2522box%255Bad_box%255D%255BbtnPreview%255D%255C%2522%253A%255C%25221%255C%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:23:01+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%255C%2522action%255C%2522%253A%255C%2522formData%255C%2522%252C%255C%2522params%255C%2522%253A%257B%255C%2522box%255Bad_box%255D%255BbtnPreview%255D%255C%2522%253A%255C%25221%255C%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:23:19+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%255C%2522action%255C%2522%253A%255C%2522formData%255C%2522%252C%255C%2522params%255C%2522%253A%257B%255C%2522box%255Bad_box%255D%255BbtnPreview%255D%255C%2522%253A%255C%25221%255C%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:31:32+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%255C%2522action%255C%2522%253A%255C%2522formData%255C%2522%252C%255C%2522params%255C%2522%253A%257B%255C%2522box%255Bad_box%255D%255BbtnPreview%255D%255C%2522%253A%255C%25221%255C%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:31:45+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%2522action%2522%253A%2522formData%2522%252C%2522params%2522%253A%257B%2522box%255Bad_box%255D%255BbtnPreview%255D%2522%253A%25221%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:32:41+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%2522action%2522%253A%2522formData%2522%252C%2522params%2522%253A%257B%2522box%255Bad_box%255D%255BbtnPreview%255D%2522%253A%25221%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:33:08+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%2522action%2522%253A%2522formData%2522%252C%2522params%2522%253A%257B%2522box%255Bad_box%255D%255BbtnPreview%255D%2522%253A%25221%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:33:45+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%2522action%2522%253A%2522formData%2522%252C%2522params%2522%253A%257B%2522box%255Bad_box%255D%255BbtnPreview%255D%2522%253A%25221%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:34:04+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%2522action%2522%253A%2522formData%2522%252C%2522params%2522%253A%257B%2522box%255Bad_box%255D%255BbtnPreview%255D%2522%253A%25221%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:36:51+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%2522action%2522%253A%2522formData%2522%252C%2522params%2522%253A%257B%2522box%255Bad_box%255D%255BbtnPreview%255D%2522%253A%25221%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
"127.0.0.1",2012-03-16T17:43:59+01:00,11,"xss csrf id rfe lfi","POST.editAd.AMEOSFORMIDABLE_ADDPOSTVARS%3D%255B%257B%2522action%2522%253A%2522formData%2522%252C%2522params%2522%253A%257B%2522box%255Bad_box%255D%255BbtnPreview%255D%2522%253A%25221%2522%257D%257D%255D","%2Findex.php%3Fid%3D88","127.0.0.2"
